BL0001|60|65|38|2026-01-05T13:00:00|PAID|2026-01-06T13:00:00
BL0002|70|70|56|2026-01-06T13:00:00|PAID|2026-01-07T13:00:00
BL0003|80|75|78|2026-01-07T13:00:00|UNPAID|
BL0004|90|80|102|2026-01-08T13:00:00|PAID|2026-01-09T13:00:00
BL0005|100|85|130|2026-01-09T13:00:00|PAID|2026-01-10T13:00:00
BL0006|110|90|160|2026-01-10T13:00:00|UNPAID|
BL0007|120|95|194|2026-01-11T13:00:00|PAID|2026-01-12T13:00:00
BL0008|130|100|69|2026-01-12T13:00:00|PAID|2026-01-13T13:00:00
BL0009|140|105|98|2026-01-13T13:00:00|UNPAID|
BL0010|150|110|130|2026-01-14T13:00:00|PAID|2026-01-15T13:00:00
BL0011|60|115|105|2026-01-15T13:00:00|PAID|2026-01-16T13:00:00
BL0012|70|120|133|2026-01-16T13:00:00|UNPAID|
BL0013|80|125|164|2026-01-17T13:00:00|PAID|2026-01-18T13:00:00
BL0014|90|130|198|2026-01-18T13:00:00|PAID|2026-01-19T13:00:00
BL0015|100|135|70|2026-01-19T13:00:00|UNPAID|
BL0016|110|90|80|2026-01-20T13:00:00|PAID|2026-01-21T13:00:00
BL0017|120|100|110|2026-01-21T13:00:00|PAID|2026-01-22T13:00:00
BL0018|130|110|144|2026-01-22T13:00:00|UNPAID|
BL0019|140|120|182|2026-01-23T13:00:00|PAID|2026-01-24T13:00:00
BL0020|150|130|224|2026-01-24T13:00:00|PAID|2026-01-25T13:00:00
BL0021|60|140|180|2026-01-25T13:00:00|UNPAID|
BL0022|70|150|66|2026-01-26T13:00:00|PAID|2026-01-27T13:00:00
BL0023|80|160|96|2026-01-27T13:00:00|PAID|2026-01-28T13:00:00
BL0024|90|170|130|2026-01-28T13:00:00|UNPAID|
BL0025|100|180|168|2026-01-29T13:00:00|PAID|2026-01-30T13:00:00
BL0026|110|190|210|2026-01-30T13:00:00|PAID|2026-01-31T13:00:00
BL0027|120|200|256|2026-01-31T13:00:00|UNPAID|
BL0028|130|180|279|2026-02-01T13:00:00|PAID|2026-02-02T13:00:00
BL0029|140|195|100|2026-02-02T13:00:00|PAID|2026-02-03T13:00:00
BL0030|150|210|144|2026-02-03T13:00:00|UNPAID|
BL0031|60|0|0|2026-01-05T14:30:00|PAID|2026-01-06T14:30:00
BL0032|70|0|0|2026-01-06T14:30:00|PAID|2026-01-07T14:30:00
BL0033|80|0|0|2026-01-07T14:30:00|UNPAID|
BL0034|90|0|0|2026-01-08T14:30:00|PAID|2026-01-09T14:30:00
BL0035|100|0|0|2026-01-09T14:30:00|PAID|2026-01-10T14:30:00
BL0036|110|0|0|2026-01-10T14:30:00|UNPAID|
BL0037|120|0|0|2026-01-11T14:30:00|PAID|2026-01-12T14:30:00
BL0038|130|0|0|2026-01-12T14:30:00|PAID|2026-01-13T14:30:00
BL0039|140|0|0|2026-01-13T14:30:00|UNPAID|
BL0040|150|0|0|2026-01-14T14:30:00|PAID|2026-01-15T14:30:00
BL0041|60|0|18|2026-01-15T14:30:00|PAID|2026-01-16T14:30:00
BL0042|70|0|28|2026-01-16T14:30:00|UNPAID|
BL0043|80|0|40|2026-01-17T14:30:00|PAID|2026-01-18T14:30:00
BL0044|90|0|54|2026-01-18T14:30:00|PAID|2026-01-19T14:30:00
BL0045|100|0|70|2026-01-19T14:30:00|UNPAID|
BL0046|110|0|0|2026-01-20T14:30:00|PAID|2026-01-21T14:30:00
BL0047|120|0|0|2026-01-21T14:30:00|PAID|2026-01-22T14:30:00
BL0048|130|0|0|2026-01-22T14:30:00|UNPAID|
BL0049|140|0|0|2026-01-23T14:30:00|PAID|2026-01-24T14:30:00
BL0050|150|0|0|2026-01-24T14:30:00|PAID|2026-01-25T14:30:00
